Sales id,Vehicle id,Vehicle Category,Brand,Body Type,Model,Fuel Type,Year,Month,Monthly Sales,Mumbai Sales,Delhi Sales,Total Sales,MoM(%),"Vehicle Price(EX-showroom,RTO,Insurance)",Sales Type(New/Resold),Vehicle Age,Resale Value,Depreciation Rate(%)
S014,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,February,18114,2166,2880,5046,-49.55,447591,Resold,5,34805,40
S015,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,March,9139,1093,1453,2546,26.36,447591,Resold,5,34805,40
S016,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,April,11548,1381,1836,3217,-18.88,447591,Resold,5,34805,40
S017,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,May,9368,1120,1490,2610,20.87,447591,Resold,5,34805,40
S018,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,June,11323,1354,1800,3154,-37.3,447591,Resold,5,34805,40
S019,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,July,7099,849,1129,1978,35.27,447591,Resold,5,34805,40
S020,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,August,9603,1149,1527,2676,-18.87,447591,Resold,5,34805,40
S021,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,September,7791,932,1239,2171,43.76,447591,Resold,5,34805,40
S022,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,October,11200,1340,1781,3121,-27.89,447591,Resold,5,34805,40
S023,V001,Car,Maruti Suzuki,HatchBack,Alto,CNG,2023,November,8076,966,1284,2250,-25.89,447591,Resold,5,34805,40
S024,V002,Car,Tata,HatchBack,Altroz,Diesel,2024,March,5985,681,898,1579,-13.98,1108514,Resold,5,86198,40
S025,V002,Car,Tata,HatchBack,Altroz,Diesel,2024,April,5148,586,772,1358,10.24,1108514,Resold,5,86198,40
S026,V002,Car,Tata,HatchBack,Altroz,Diesel,2023,January,5675,679,902,1581,27.75,1108514,Resold,5,86198,40
S027,V002,Car,Tata,HatchBack,Altroz,Diesel,2023,June,7250,867,1153,2020,7.82,1108514,Resold,5,86198,40
S028,V002,Car,Tata,HatchBack,Altroz,Diesel,2023,July,7817,935,1243,2178,0.1,1108514,Resold,5,86198,40
S029,V002,Car,Tata,HatchBack,Altroz,Diesel,2023,August,7825,936,1244,2180,-14.58,1108514,Resold,5,86198,40
S030,V002,Car,Tata,HatchBack,Altroz,Diesel,2023,September,6684,799,1063,1862,-10.47,1108514,Resold,5,86198,40
S031,V002,Car,Tata,HatchBack,Altroz,Diesel,2023,October,5984,716,951,1667,-17.2,1108514,Resold,5,86198,40
S032,V002,Car,Tata,HatchBack,Altroz,Diesel,2023,November,4955,593,788,1381,12.61,1108514,Resold,5,86198,40
S033,V003,Car,Honda,Sedan,Amaze,Petrol,2023,January,5580,667,887,1554,-1,1120000,Resold,5,87091,40
S034,V004,Car,Hyundai,Sedan,Aura,CNG,2023,February,5524,661,878,1539,-7.95,944842,Resold,5,73471,40
S035,V004,Car,Hyundai,Sedan,Aura,CNG,2023,April,5085,608,809,1417,286.04,944842,Resold,5,73471,40
S036,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,January,19630,2234,2945,5179,-10.76,946896,Resold,5,73631,40
S037,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,February,17517,1993,2628,4621,-11.01,946896,Resold,5,73631,40
S038,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,March,15588,1774,2338,4112,-9.87,946896,Resold,5,73631,40
S039,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,April,14049,1599,2107,3706,-8.59,946896,Resold,5,73631,40
S040,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,May,12842,1461,1926,3387,15.99,946896,Resold,5,73631,40
S041,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,June,14895,1695,2234,3929,-37.5,946896,Resold,5,73631,40
S042,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,July,9309,1059,1396,2455,34.12,946896,Resold,5,73631,40
S043,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,August,12485,1421,1873,3294,14.47,946896,Resold,5,73631,40
S044,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,September,14292,1626,2144,3770,12.52,946896,Resold,5,73631,40
S045,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,October,16082,1830,2412,4242,1.31,946896,Resold,5,73631,40
S046,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,November,16293,1854,2444,4298,-44.07,946896,Resold,5,73631,40
S047,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2024,December,9112,1037,1367,2404,79.51,946896,Resold,5,73631,40
S048,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,January,16357,1956,2601,4557,13.66,946896,Resold,5,73631,40
S049,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,February,18592,2224,2956,5180,-13.04,946896,Resold,5,73631,40
S050,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,March,16168,1934,2571,4505,0.07,946896,Resold,5,73631,40
S051,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,April,16180,1935,2573,4508,-88.42,946896,Resold,5,73631,40
S052,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,May,1873,224,298,522,651.58,946896,Resold,5,73631,40
S053,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,June,14077,1684,2238,3922,18.81,946896,Resold,5,73631,40
S054,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,July,16725,2000,2659,4659,10.71,946896,Resold,5,73631,40
S055,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,August,18516,2215,2944,5159,-0.53,946896,Resold,5,73631,40
S056,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,September,18417,2203,2928,5131,-9.9,946896,Resold,5,73631,40
S057,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,October,16594,1985,2638,4623,-21.89,946896,Resold,5,73631,40
S058,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,November,12961,1550,2061,3611,-17.68,946896,Resold,5,73631,40
S059,V005,Car,Maruti Suzuki,HatchBack,Baleno,CNG,2023,December,10669,1276,1696,2972,-6.61,946896,Resold,5,73631,40
S060,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,January,9964,1134,1495,2629,1.5,1091000,New,1,1091000,0
S061,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,February,10113,1151,1517,2668,2.31,1091000,New,1,1091000,0
S062,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,March,10347,1177,1552,2729,-7.83,1091000,New,1,1091000,0
S063,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,April,9537,1085,1431,2516,-15.84,1091000,New,1,1091000,0
S064,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,May,8026,913,1204,2117,-8.24,1091000,New,1,1091000,0
S065,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,June,7365,838,1105,1943,-5.91,1091000,New,1,1091000,0
S066,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,July,6930,789,1040,1829,-6.29,1091000,New,1,1091000,0
S067,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,August,6494,739,974,1713,25.96,1091000,New,1,1091000,0
S068,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,September,8180,931,1227,2158,20.4,1091000,New,1,1091000,0
S069,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,October,9849,1121,1477,2598,-28.47,1091000,New,1,1091000,0
S070,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,November,7045,802,1057,1859,-15.95,1091000,New,1,1091000,0
S071,V006,Car,Mahindra,SUV,Bolero,Diesel,2024,December,5921,674,888,1562,37.98,1091000,New,1,1091000,0
S072,V006,Car,Mahindra,SUV,Bolero,Diesel,2023,May,8170,977,1299,2276,11.29,1091000,New,1,1091000,0
S073,V006,Car,Mahindra,SUV,Bolero,Diesel,2023,August,9092,1087,1446,2533,4.7,1091000,New,1,1091000,0
S074,V006,Car,Mahindra,SUV,Bolero,Diesel,2023,September,9519,1138,1514,2652,1.34,1091000,New,1,1091000,0
S075,V006,Car,Mahindra,SUV,Bolero,Diesel,2023,October,9647,1154,1534,2688,-3.25,1091000,New,1,1091000,0
S076,V006,Car,Mahindra,SUV,Bolero,Diesel,2023,November,9333,1116,1484,2600,-14.34,1091000,New,1,1091000,0
S077,V006,Car,Mahindra,SUV,Bolero,Diesel,2023,December,7995,956,1271,2227,91.41,1091000,New,1,1091000,0
S078,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,January,15303,1741,2295,4036,11.83,1079713,Resold,3,552813,20
S079,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,April,17113,1947,2567,4514,-23.03,1079713,Resold,3,552813,20
S080,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,June,13172,1499,1976,3475,11.42,1079713,Resold,3,552813,20
S081,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,July,14676,1670,2201,3871,30.76,1079713,Resold,3,552813,20
S082,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,August,19190,2184,2879,5063,-20.16,1079713,Resold,3,552813,20
S083,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,September,15322,1744,2298,4042,8.11,1079713,Resold,3,552813,20
S084,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,October,16565,1885,2485,4370,-9.94,1079713,Resold,3,552813,20
S085,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,November,14918,1698,2238,3936,16.21,1079713,Resold,3,552813,20
S086,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2024,December,17336,1973,2600,4573,-31.73,1079713,Resold,3,552813,20
S087,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2023,April,11836,1416,1882,3298,23.12,1079713,Resold,3,552813,20
S088,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2023,August,14572,1743,2317,4060,2.94,1079713,Resold,3,552813,20
S089,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2023,September,15001,1794,2385,4179,6.99,1079713,Resold,3,552813,20
S090,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2023,October,16050,1920,2552,4472,-19.98,1079713,Resold,3,552813,20
S091,V007,Car,Maruti Suzuki,SUV,Brezza,CNG,2023,December,12844,1536,2042,3578,-58.52,1079713,Resold,3,552813,20
S092,V008,Car,Kia,MUV,Carens,Petrol,2024,April,5328,606,799,1405,6.59,1228150,Resold,3,628813,20
S093,V008,Car,Kia,MUV,Carens,Petrol,2024,July,5679,646,852,1498,3.56,1228150,Resold,3,628813,20
S094,V008,Car,Kia,MUV,Carens,Petrol,2024,August,5881,669,882,1551,5.71,1228150,Resold,3,628813,20
S095,V008,Car,Kia,MUV,Carens,Petrol,2024,September,6217,707,933,1640,2.69,1228150,Resold,3,628813,20
S096,V008,Car,Kia,MUV,Carens,Petrol,2024,October,6384,726,958,1684,-11.15,1228150,Resold,3,628813,20
S097,V008,Car,Kia,MUV,Carens,Petrol,2024,November,5672,645,851,1496,39.28,1228150,Resold,3,628813,20
S098,V008,Car,Kia,MUV,Carens,Petrol,2023,January,7900,945,1256,2201,-20.91,1228150,Resold,3,628813,20
S099,V008,Car,Kia,MUV,Carens,Petrol,2023,February,6248,747,993,1740,-2.34,1228150,Resold,3,628813,20
S100,V008,Car,Kia,MUV,Carens,Petrol,2023,March,6102,730,970,1700,0.08,1228150,Resold,3,628813,20
S101,V008,Car,Kia,MUV,Carens,Petrol,2023,April,6107,730,971,1701,31.77,1228150,Resold,3,628813,20
S102,V008,Car,Kia,MUV,Carens,Petrol,2023,June,8047,962,1279,2241,-25.41,1228150,Resold,3,628813,20
S103,V008,Car,Kia,MUV,Carens,Petrol,2023,July,6002,718,954,1672,120.13,1228150,Resold,3,628813,20
S104,V009,Car,Hyundai,SUV,Creta,Diesel,2024,January,13212,1504,1982,3486,15.62,1500495,Resold,3,768253,20
S105,V009,Car,Hyundai,SUV,Creta,Diesel,2024,February,15276,1738,2291,4029,7.74,1500495,Resold,3,768253,20
S106,V009,Car,Hyundai,SUV,Creta,Diesel,2024,March,16458,1873,2469,4342,-6.14,1500495,Resold,3,768253,20
S107,V009,Car,Hyundai,SUV,Creta,Diesel,2024,April,15447,1758,2317,4075,-5.08,1500495,Resold,3,768253,20
S108,V009,Car,Hyundai,SUV,Creta,Diesel,2024,May,14662,1669,2199,3868,11.12,1500495,Resold,3,768253,20
S109,V009,Car,Hyundai,SUV,Creta,Diesel,2024,June,16293,1854,2444,4298,6.49,1500495,Resold,3,768253,20
S110,V009,Car,Hyundai,SUV,Creta,Diesel,2024,July,17350,1974,2603,4577,-3.39,1500495,Resold,3,768253,20
S111,V009,Car,Hyundai,SUV,Creta,Diesel,2024,August,16762,1908,2514,4422,-5.13,1500495,Resold,3,768253,20
S112,V009,Car,Hyundai,SUV,Creta,Diesel,2024,September,15902,1810,2385,4195,10.03,1500495,Resold,3,768253,20
S113,V009,Car,Hyundai,SUV,Creta,Diesel,2024,October,17497,1991,2625,4616,-11.69,1500495,Resold,3,768253,20
S114,V009,Car,Hyundai,SUV,Creta,Diesel,2024,November,15452,1758,2318,4076,-18.41,1500495,Resold,3,768253,20
S115,V009,Car,Hyundai,SUV,Creta,Diesel,2024,December,12608,1435,1891,3326,19.27,1500495,Resold,3,768253,20
S116,V009,Car,Hyundai,SUV,Creta,Diesel,2023,January,15037,1798,2391,4189,-30.7,1500495,Resold,3,768253,20
S117,V009,Car,Hyundai,SUV,Creta,Diesel,2023,February,10421,1246,1657,2903,34.59,1500495,Resold,3,768253,20
S118,V009,Car,Hyundai,SUV,Creta,Diesel,2023,March,14026,1678,2230,3908,1.14,1500495,Resold,3,768253,20
S119,V009,Car,Hyundai,SUV,Creta,Diesel,2023,April,14186,1697,2256,3953,1.85,1500495,Resold,3,768253,20
S120,V009,Car,Hyundai,SUV,Creta,Diesel,2023,May,14449,1728,2297,4025,-0.01,1500495,Resold,3,768253,20
S121,V009,Car,Hyundai,SUV,Creta,Diesel,2023,June,14447,1728,2297,4025,-2.66,1500495,Resold,3,768253,20
S122,V009,Car,Hyundai,SUV,Creta,Diesel,2023,July,14062,1682,2236,3918,-1.64,1500495,Resold,3,768253,20
S123,V009,Car,Hyundai,SUV,Creta,Diesel,2023,August,13832,1654,2199,3853,-8.06,1500495,Resold,3,768253,20
S124,V009,Car,Hyundai,SUV,Creta,Diesel,2023,September,12717,1521,2022,3543,2.83,1500495,Resold,3,768253,20
S125,V009,Car,Hyundai,SUV,Creta,Diesel,2023,October,13077,1564,2079,3643,-9.66,1500495,Resold,3,768253,20
S126,V009,Car,Hyundai,SUV,Creta,Diesel,2023,November,11814,1413,1878,3291,-21.76,1500495,Resold,3,768253,20
S127,V009,Car,Hyundai,SUV,Creta,Diesel,2023,December,9243,1105,1470,2575,-45.97,1500495,Resold,3,768253,20
S128,V010,Car,Tata,SUV,Curvv,Diesel,2024,December,4994,568,749,1317,235.86,1359081,New,1,1359081,0
S129,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,January,16773,1909,2516,4425,-5.58,985634,Resold,5,76643,40
S130,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,February,15837,1802,2376,4178,0.36,985634,Resold,5,76643,40
S131,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,March,15894,1809,2384,4193,-0.43,985634,Resold,5,76643,40
S132,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,April,15825,1801,2374,4175,1.49,985634,Resold,5,76643,40
S133,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,May,16061,1828,2409,4237,-16.44,985634,Resold,5,76643,40
S134,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,June,13421,1527,2013,3540,-13.22,985634,Resold,5,76643,40
S135,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,July,11647,1325,1747,3072,-8.76,985634,Resold,5,76643,40
S136,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,August,10627,1209,1594,2803,2.13,985634,Resold,5,76643,40
S137,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,September,10853,1235,1628,2863,8.53,985634,Resold,5,76643,40
S138,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,November,11779,1340,1767,3107,40.7,985634,Resold,5,76643,40
S139,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2024,December,16573,1886,2486,4372,-31.71,985634,Resold,5,76643,40
S140,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,January,11317,1354,1799,3153,48.43,985634,Resold,5,76643,40
S141,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,February,16798,2009,2671,4680,-20.26,985634,Resold,5,76643,40
S142,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,March,13394,1602,2130,3732,-24.35,985634,Resold,5,76643,40
S143,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,April,10132,1212,1611,2823,11.68,985634,Resold,5,76643,40
S144,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,May,11315,1353,1799,3152,-17.61,985634,Resold,5,76643,40
S145,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,June,9322,1115,1482,2597,43.69,985634,Resold,5,76643,40
S146,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,July,13395,1602,2130,3732,-0.76,985634,Resold,5,76643,40
S147,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,August,13293,1590,2114,3704,4.42,985634,Resold,5,76643,40
S148,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,September,13880,1660,2207,3867,5.9,985634,Resold,5,76643,40
S149,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,October,14699,1758,2337,4095,8.61,985634,Resold,5,76643,40
S150,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,November,15965,1909,2538,4447,-12.23,985634,Resold,5,76643,40
S151,V011,Car,Maruti Suzuki,Sedan,Dzire,CNG,2023,December,14012,1676,2228,3904,-14.22,985634,Resold,5,76643,40
S152,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,January,12019,1368,1803,3171,1.06,754312,Resold,5,58655,40
S153,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,February,12147,1382,1822,3204,-1.05,754312,Resold,5,58655,40
S154,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,March,12019,1368,1803,3171,0.34,754312,Resold,5,58655,40
S155,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,April,12060,1372,1809,3181,-9.12,754312,Resold,5,58655,40
S156,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,May,10960,1247,1644,2891,-1.72,754312,Resold,5,58655,40
S157,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,June,10771,1226,1616,2842,10.63,754312,Resold,5,58655,40
S158,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,July,11916,1356,1787,3143,-7.81,754312,Resold,5,58655,40
S159,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,August,10985,1250,1648,2898,8.4,754312,Resold,5,58655,40
S160,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,September,11908,1355,1786,3141,-2.14,754312,Resold,5,58655,40
S161,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,October,11653,1326,1748,3074,-9.13,754312,Resold,5,58655,40
S162,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,November,10589,1205,1588,2793,10.28,754312,Resold,5,58655,40
S163,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2024,December,11678,1329,1752,3081,0.27,754312,Resold,5,58655,40
S164,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,January,11709,1400,1862,3262,-3.05,754312,Resold,5,58655,40
S165,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,February,11352,1358,1805,3163,5.66,754312,Resold,5,58655,40
S166,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,March,11995,1435,1907,3342,-12.43,754312,Resold,5,58655,40
S167,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,April,10504,1256,1670,2926,22.03,754312,Resold,5,58655,40
S168,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,May,12818,1533,2038,3571,-27.02,754312,Resold,5,58655,40
S169,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,June,9354,1119,1487,2606,28.68,754312,Resold,5,58655,40
S170,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,July,12037,1440,1914,3354,-1.48,754312,Resold,5,58655,40
S171,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,August,11859,1418,1886,3304,-6,754312,Resold,5,58655,40
S172,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,September,11147,1333,1772,3105,16.4,754312,Resold,5,58655,40
S173,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,October,12975,1552,2063,3615,-21.19,754312,Resold,5,58655,40
S174,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,November,10226,1223,1626,2849,-1.88,754312,Resold,5,58655,40
S175,V012,Car,Maruti Suzuki,Van,Eeco,CNG,2023,December,10034,1200,1595,2795,-43.34,754312,Resold,5,58655,40
S176,V013,Car,Honda,SUV,Elevate,Petrol,2023,September,5685,680,904,1584,-23.03,1351356,Resold,2,976355,15
S177,V013,Car,Honda,SUV,Elevate,Petrol,2023,December,4376,523,696,1219,17.25,1351356,Resold,2,976355,15
S178,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2024,February,5131,584,770,1354,1.33,941000,Resold,3,481792,20
S179,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2024,April,5199,592,780,1372,2.23,941000,Resold,3,481792,20
S180,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2024,June,5315,605,797,1402,74.73,941000,Resold,3,481792,20
S181,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2023,February,9287,1111,1477,2588,-28.98,941000,Resold,3,481792,20
S182,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2023,March,6596,789,1049,1838,-1.88,941000,Resold,3,481792,20
S183,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2023,April,6472,774,1029,1803,-4.79,941000,Resold,3,481792,20
S184,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2023,June,6162,737,980,1717,5.18,941000,Resold,3,481792,20
S185,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2023,September,6481,775,1030,1805,11.28,941000,Resold,3,481792,20
S186,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2023,October,7212,863,1147,2010,-20.59,941000,Resold,3,481792,20
S187,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2023,November,5727,685,911,1596,-20.13,941000,Resold,3,481792,20
S188,V014,Car,Hyundai,HatchBack,Elite i20,Diesel,2023,December,4574,547,727,1274,219.9,941000,Resold,3,481792,20
S189,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,January,14632,1665,2195,3860,6.06,1260476,Resold,5,98015,40
S190,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,February,15519,1766,2328,4094,-4.07,1260476,Resold,5,98015,40
S191,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,March,14888,1694,2233,3927,-9.03,1260476,Resold,5,98015,40
S192,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,April,13544,1541,2032,3573,2.58,1260476,Resold,5,98015,40
S193,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,May,13893,1581,2084,3665,14.46,1260476,Resold,5,98015,40
S194,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,June,15902,1810,2385,4195,-1.26,1260476,Resold,5,98015,40
S195,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,July,15701,1787,2355,4142,18.34,1260476,Resold,5,98015,40
S196,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,August,18580,2114,2787,4901,-6.14,1260476,Resold,5,98015,40
S197,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,September,17440,1985,2616,4601,7.71,1260476,Resold,5,98015,40
S198,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,October,18785,2138,2818,4956,-19.35,1260476,Resold,5,98015,40
S199,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,November,15150,1724,2273,3997,5.98,1260476,Resold,5,98015,40
S200,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2024,December,16056,1827,2408,4235,-39.28,1260476,Resold,5,98015,40
S201,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2023,January,9750,1166,1550,2716,-33.62,1260476,Resold,5,98015,40
S202,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2023,February,6472,774,1029,1803,39.49,1260476,Resold,5,98015,40
S203,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2023,March,9028,1080,1435,2515,-38.72,1260476,Resold,5,98015,40
S204,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2023,April,5532,662,880,1542,90.31,1260476,Resold,5,98015,40
S205,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2023,May,10528,1259,1674,2933,-20,1260476,Resold,5,98015,40
S206,V015,Car,Maruti Suzuki,MUV,Ertiga,CNG,2023,June,8422,1007,1339,2346,70.41,1260476,Resold,5,98015,40
